Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
HOME,Homestead National Monument,40.2917267,-96.8348525,261.74197779605265,69845,103708,67396,69156,78739,87755,123400,68091,61636,40897,77062
HONO,Honouliuli National Historic Site,21.391667,-158.059722,127.69783785635966,0,0,0,0,0,0,0,0,0,0,0
HOCU,Hopewell Culture National Historical Park,39.3738532,-83.0073082,2125.667937911193,33834,39462,32206,36432,43587,58058,62413,57335,60338,35710,45938
HOFU,Hopewell Furnace National Historic Site,40.2081934,-75.7735281,1034.2160080866229,44873,52870,46138,48105,51252,54167,49306,46407,49861,34288,47727
HOBE,Horseshoe Bend National Military Park,33.015464,-85.687928,2103.348824698474,65892,58668,55965,64359,89282,83370,74255,48491,45372,28600,61425
HOSP,Hot Springs National Park,34.5116392,-93.0539835,5721.539352384877,1396354,1302505,1325719,1424484,1418162,1544300,1561616,1506887,1467153,1348215,1429540
HOVE,Hovenweep National Monument,37.548179,-108.548955,911.4542064144737,25858,26710,24959,26808,35117,42862,39970,40574,35399,19856,31811
HUTR,Hubbell Trading Post National Historic Site,35.667514,-109.321948,172.53662280701755,88231,75061,75678,81475,66324,67276,45800,39361,50285,11407,60090
IATR,Ice Age National Scenic Trail,43.049044,-89.491477,207.30771175986843,0,0,0,0,0,0,0,0,0,0,0
INDE,Independence National Historical Park,39.9480134,-75.1461357,52.36971354166667,3572770,3594549,3553070,3648050,4311582,5067510,4790758,4576456,4532459,907090,3855429
INDU,Indiana Dunes National Park,41.6306,-87.086864,20261.00464364035,1840513,1889381,1681695,1553372,1640195,1698223,2158471,1756079,2134285,2293106,1864532
ISRO,Isle Royale National Park,47.1225521,-88.5645333,874702.1402110754,15892,16663,16274,14560,18684,24966,28196,25798,26410,6493,19394
JAGA,James A. Garfield National Historic Site,41.664495,-81.35085,9.939690926535087,31499,36375,21027,17956,24506,45437,53536,40835,41305,14797,32727
JELA,Jean Lafitte National Historical Park and Preserve,29.955125,-90.064502,20551.76272101158,420366,419694,400128,445524,405618,438420,456666,529878,590329,192601,429922
JECA,Jewel Cave National Monument,43.764308,-103.607462,1732.1440021929825,77146,109300,98259,104348,116444,137275,144537,142356,123489,35878,108903
JICA,Jimmy Carter National Historic Site,32.0367522,-84.3934827,71.40578056469299,66157,69940,67455,62057,67797,66441,60735,51680,50789,14267,57732
JODR,"John D. Rockefeller, Jr., Memorial Parkway",44.104721999999995,-110.692778,32516.0903824014,1147986,1197750,1228502,1264842,1430337,1411819,1433292,1504561,1426666,1373817,1341957
JODA,John Day Fossil Beds National Monument,44.653496,-119.650654,19610.91802631579,148002,148152,156285,183420,196277,210110,214557,204621,197091,88571,174709
JOFI,John Fitzgerald Kennedy National Historic Site,42.3460692,-71.1244352,0.11309621710526316,18466,22642,17273,26273,18485,25467,30399,24077,24838,451,20837
JOMU,John Muir National Historic Site,37.9921651,-122.130977,393.4081962719298,31236,37403,37777,41535,42615,49376,46876,46957,40725,33603,40810
JOFL,Johnstown Flood National Memorial,40.3508419,-78.7721602,219.8601322642544,105906,123081,121923,141354,163431,154931,171376,146269,183143,87805,139922
JOTR,Joshua Tree National Park,34.129523,-116.036937,824225.0671491228,1396237,1396117,1383340,1589904,2025756,2505286,2853619,2942382,2988547,2399542,2148073
KALA,Kalaupapa National Historical Park,21.189792,-156.980138,8734.369606633772,57841,58875,101112,67210,67891,71527,76512,72146,69401,15847,65836
KAHO,Kaloko-Honokohau National Historical Park,19.689206,-156.021329,1008.168555372807,162906,153584,158124,154206,170683,185041,196857,218015,232921,133877,176621
KAWW,Katahdin Woods And Waters National Monument,45.970362,-68.619336,131539.4711732456,0,0,0,0,0,0,0,0,0,41432,41432
KATM,Katmai National Park,58.756222,-156.51724,9596646.855993701,48939,39818,28966,30896,37818,37818,37818,37818,84167,51511,43557
KEFJ,Kenai Fjords National Park,59.8463648,-150.1844857,1867507.3421107542,346852,281279,283502,270666,296697,346534,303598,321596,356601,115882,292321
KEMO,Kennesaw Mountain National Battlefield Park,33.9830896,-84.5780814,3053.4263507401406,1748436,1935909,1924076,2119013,2174870,2360256,2593725,2549164,2621050,2356401,2238290
KEWE,Keweenaw National Historical Park,47.2423702,-88.4480218,2859.291685169965,0,0,0,0,0,14612,16479,20416,20535,2130,14834
KICA,Kings Canyon National Park,36.78928,-118.67286,510404.511934621,566810,591033,567544,502268,468106,607479,692932,699023,632110,415077,574238
KIMO,Kings Mountain National Military Park,35.078017,-81.395068,4181.88091214365,272325,265713,247632,251093,257077,263357,291841,287635,262031,249477,264818
KLGO,Klondike Gold Rush National Historical Park,59.54944,-135.269027,35931.13211622807,795150,854250,928150,1085202,919661,912351,906485,1017298,1116161,297,853501
KNRI,Knife River Indian Villages National Historic Site,47.4003132,-101.4864866,2740.1433230537373,16025,16010,14476,10750,11377,13328,11644,11682,10354,5263,12091
KOVA,Kobuk Valley National Park,67.146678,-161.292928,8350255.635583878,11485,29550,16875,0,0,15500,15500,14937,15766,11185,13080
KOWA,Korean War Veterans Memorial,38.887778000000004,-77.047222,1.827797423245614,3073430,3267124,3209279,3767287,4077835,4084298,4155947,4107520,3841633,1363714,3494807
LACH,Lake Chelan National Recreation Area,48.5109531,-122.2275204,101053.36658168859,43827,40830,37315,35360,32186,45514,38464,38839,38785,30598,38172
LACL,Lake Clark National Park,61.2173565,-149.886172,7696248.860501649,5158,11639,13000,16100,17818,21102,22755,14479,17157,4948,14416
LAKE,Lake Mead National Recreation Area,36.009722,-114.796667,1622631.0060738754,6396682,6285439,6344714,6942873,7298465,7175891,7882339,7578958,7499049,8016510,7142092
LAMR,Lake Meredith National Recreation Area,35.714721999999995,-101.552778,44771.452454769824,734030,502457,554272,692195,831374,1025613,1329076,1106233,1328340,1612784,971637
LARO,Lake Roosevelt National Recreation Area,48.10743,-118.21289,125914.87476562508,1523474,1781972,1254409,1180898,1170843,1253571,1304403,1276722,1358818,1519403,1362451
LAVO,Lassen Volcanic National Park,40.5093134,-121.4330998,132122.39535498913,351269,407653,427409,432977,468092,536068,507256,499435,517039,542274,468947
LABE,Lava Beds National Monument,41.873101,-121.519764,59775.131351425436,124113,181429,105395,138499,108687,127699,135286,127771,109630,111258,126977
LECL,Lewis and Clark National Historic Trail,41.264613,-95.924517,99.0124136513158,191867,201704,217022,244921,270410,281576,293356,286349,270993,161230,241943
LEWI,Lewis and Clark National Historical Park,46.1370048,-123.8798795,5377.315742872807,0,0,0,0,0,0,0,0,0,0,0
LIBO,Lincoln Boyhood National Memorial,38.113702,-86.999079,229.8759683388158,108420,133550,125069,99795,111711,125562,143651,133850,138714,110692,123101
LIHO,Lincoln Home National Historic Site,39.7981317,-89.6451345,16.451168448464912,296214,295464,209405,218132,233299,239719,232265,197717,197816,27744,214778
LINC,Lincoln Memorial,38.889278000000004,-77.050139,8.553911047149123,5971220,6191361,6546518,7139072,7941771,7915934,7956117,7804683,7808182,2980075,6825493
LIBI,Little Bighorn Battlefield National Monument,45.5605145,-107.4271624,1129.388242872807,312168,346327,277883,281436,317782,332328,296128,272591,241304,97461,277541
LIRI,Little River Canyon National Preserve,34.3807297,-85.6315729,16121.397939281806,225549,201109,185477,224931,248135,462700,367058,441177,649986,802375,380850
CHSC,Little Rock Central High School National Historic Site,34.738773,-92.29732,30.443483415570174,66106,63938,114144,115908,125956,129540,170413,149098,168918,68497,117252
LONG,Longfellow House-Washington's Headquarters National Historic Site,42.376989,-71.12637,2.528771244517544,46596,52234,40554,46371,50784,49697,51606,60527,55012,30014,48340
LOWE,Lowell National Historical Park,42.6471941,-71.3097974,157.20740748355263,520452,537551,517763,514524,531055,541825,562498,507276,481536,53954,476843
LOSA,Lower Saint Croix National Scenic Riverway,45.389167,-92.6575,16187.878960389262,0,0,0,0,0,0,0,0,0,0,0
LYJO,Lyndon B. Johnson National Historical Park,30.285392,-98.398629,1496.7410601699562,100056,110791,82369,88427,124979,140303,146119,121499,111972,75322,110184
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,38.878611,-77.051389,21.20482387609649,239058,371063,294979,254167,232882,260234,277403,261225,244246,211228,264649
MAWA,Maggie L. Walker National Historic Site,37.547778,-77.438056,1.4727364309210527,10779,8276,7013,9045,7589,9589,10738,10961,9602,1849,8544
MACA,Mammoth Cave National Park,37.192189,-86.121529,57949.44346628298,483319,508054,494541,522628,566895,586514,587853,533206,551590,290392,512499
MANA,Manassas National Battlefield Park,38.805198,-77.571996,6002.782956414474,659740,600354,538888,514140,502045,534835,605577,542004,510427,558036,556605
MAPR,Manhattan Project National Historical Park,,,136.23697985197367,0,0,0,0,0,104715,89599,69543,79870,11392,71024
MANZ,Manzanar National Historic Site,36.7284743,-118.1462983,900.7918325109649,79587,72831,77511,77633,95327,105307,114461,104081,97380,65289,88941
MABI,Marsh-Billings-Rockefeller National Historical Park,43.6285354,-72.5183519,875.2112321820175,29049,32403,34112,39086,35003,55716,46523,63886,45979,23538,40530
MALU,"Martin Luther King, Jr. National Historical Park",33.7555614,-84.3734823,40.035424890350875,666482,707514,704168,766030,673728,467715,584435,641801,761650,198158,617168
MLKM,"Martin Luther King, Jr., Memorial",38.886111,-77.044167,3.2156537828947367,1490358,3738336,3205654,3199136,3530401,3638208,3651093,3567434,3667562,1083671,3077185
MAVA,Martin Van Buren National Historic Site,42.3656798,-73.704337,386.3525575657895,19287,22062,16229,19187,18547,22100,22023,18642,20623,11480,19018
MABE,Mary McLeod Bethune Council House National Historic Site,38.907778,-77.030278,0.09342996162280702,18142,6646,5686,9295,8249,7149,277,109,3788,578,5992
MEMY,Medgar and Myrlie Evers Home National Monument,32.34097,-90.21265,0.7402425986842105,572329,488860,460237,501563,547325,583527,613788,563420,556203,287477,517473
MEVE,Mesa Verde National Park,37.16748,-108.525539,60249.60776247263,0,0,0,0,0,0,0,0,0,0,0
MISP,Mill Springs Battlefield National Monument,37.068889,-84.736111,1642.011093064693,0,0,0,0,0,0,0,0,0,0,0
MIIN,Minidoka National Historic Site,42.812124,-114.898669,526.1061807839912,0,0,0,0,0,0,11622,11567,13647,6747,10896
MIMA,Minute Man National Historical Park,42.471166,-71.35372,1335.8085396107456,1002833,1001207,947894,1056549,964330,1049414,1023921,1014803,1017326,1083973,1016225
MIMI,Minuteman Missile National Historic Site,43.816298,-101.899697,59.48551603618421,59389,75654,76261,62058,100488,133895,143715,139273,125776,98908,101542
MISS,Mississippi National River and Recreation Area,44.9455077,-93.0898974,76105.63043654052,99398,106733,100111,85637,127635,256944,436734,417022,374682,204707,220960
MNRR,Missouri National Recreation River,42.868919,-97.384615,90175.68808251104,179983,167776,169698,134760,145004,148210,119816,128657,129280,111602,143479
MOJA,Mojave National Preserve,34.871394,-117.020322,1689000.626443256,536006,542527,549599,554560,589155,585635,716604,787404,841516,608633,631164
MONO,Monocacy National Battlefield,39.3665648,-77.388428,1928.7883717105262,36674,47249,37647,56187,64596,87547,113820,84901,144969,155116,82871
MOCA,Montezuma Castle National Monument,34.6089399,-111.8412083,1063.2531016995615,573731,455305,389091,407017,416635,392168,398174,390151,376254,242028,404055
MOCR,Moores Creek National Battlefield,34.458784,-78.107428,95.25302700109648,58118,79345,72330,87774,89944,83889,86747,58531,77006,58786,75247
MORR,Morristown National Historical Park,40.7969641,-74.4659163,2095.1815741502282,222395,294606,304941,264363,218959,252514,268295,279393,271330,262361,263916
MORA,Mount Rainier National Park,46.7558282,-122.1207998,358884.4284827298,1038229,1049178,1148552,1264259,1237231,1356913,1415867,1518491,1501621,1160754,1269110
MORU,Mount Rushmore National Memorial,43.875419,-103.4531437,1740.953003700658,2081722,2185447,2162998,2144808,2434297,2431231,2437800,2311273,1963540,2074986,2222810
MUWO,Muir Woods National Monument,37.8960372,-122.580256,634.0503659539473,897131,972331,954125,1049400,1099923,1123121,1062099,957932,812073,324232,925237
NATC,Natchez National Historical Park,31.543333,-91.383056,137.91384594298245,206624,184551,191095,215257,204332,204120,233339,234786,182123,57646,191387
NATR,Natchez Trace Parkway,34.307545,-88.720974,54445.60883566333,5765343,5560668,6012740,5846474,5785812,5891315,6326062,6362439,6296041,6124808,5997170
NACA,National Capital Parks,,,8488.82058319628,1240717,858700,1712858,1999232,1833085,1813222,1932762,1800329,1770794,665650,1562735
MALL,National Mall,38.89,-77.023611,202.5259107730263,1167393,923054,1091661,1311995,1220403,1224671,1366142,1447273,1210641,893421,1185665
NPSA,National Park of American Samoa,-14.29129,-170.696426,8470.760824424351,8716,10440,17919,13953,13892,28892,69468,28626,60006,4819,25673
NABR,Natural Bridges National Monument,37.593888,-110.009234,8622.852337582246,91184,89011,82330,87119,94797,101843,107443,103118,88090,52542,89748
NAVA,Navajo National Monument,36.40425,-110.910901,398.97690720942984,87388,58219,54168,65778,71370,65705,68785,61195,49983,3985,58658
NEBE,New Bedford Whaling National Historical Park,41.635758,-70.924046,39.63396038925438,273862,269885,276374,272731,167790,145500,166894,186937,143427,18243,192164
JAZZ,New Orleans Jazz National Historical Park,29.955125,-90.064502,5.070929276315789,130393,177909,198363,36017,58188,35514,40814,54483,41049,9640,78237
NERI,New River Gorge National River,37.899209,-81.157499,81907.99211143087,1071088,1128195,1071823,1124799,1178753,1197931,1168658,1232627,1195721,1054374,1142397
NEPE,Nez Perce National Historical Park,46.416175,-116.797523,6353.061798245614,286259,233093,297973,221439,224967,239908,238424,307645,216068,301473,256725
NICO,Nicodemus National Historic Site,39.393117,-99.617178,5.473097587719298,2681,3505,3241,3374,3306,3552,2916,2738,3540,262,2912
NISI,Ninety Six National Historic Site,34.1433109,-82.013465,1000.1588137335526,70099,73044,69624,65688,80223,118002,113103,95550,97295,95418,87805
NIOB,Niobrara National Scenic River,42.8129207,-99.9294552,38351.3485252193,65785,65999,71876,53443,68110,73813,80806,61639,60812,102766,70505
NOAT,Noatak National Preserve,66.898684,-162.599068,33148404.00301263,11722,31000,16907,0,0,17000,17000,16387,17216,12533,13977
NOCA,North Cascades National Park,48.832778000000005,-121.3475,816863.9661581685,19208,26935,21623,23865,20677,28646,30326,30085,38208,30885,27046
NOCO,North Country National Scenic Trail,43.049044,-89.491477,419.93637678179823,0,0,0,0,0,0,0,0,0,0,0
OBRI,Obed Wild and Scenic River,36.075278000000004,-84.649444,5896.071768092105,212458,212446,198367,215767,214441,231390,214783,217530,221301,237837,217632
OCMU,Ocmulgee Mounds National Historical Park,32.8483695,-83.6034314,3415.7442948190883,122722,120025,115801,122799,155388,162260,156907,133008,146925,61303,129714
OLYM,Olympic National Park,47.96935,-123.49856,1439226.4513061948,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3104455,3245806,2499177,3102604
ORCA,Oregon Caves National Monument and Preserve,42.095556,-123.405833,5885.836369243421,76194,78164,72717,69405,72709,80613,72212,67417,65006,22789,67723
ORPI,Organ Pipe Cactus National Monument,32.229742,-112.883295,327674.70297697367,211405,161743,206860,224548,222723,234186,260534,260375,263186,191512,223707
OZAR,Ozark National Scenic Riverway,36.9202916,-90.9045238,92152.71508840455,1365960,1406781,1253703,1296437,1277941,1241480,1165296,1264657,1221489,1316795,1281054
PAIS,Padre Island National Seashore,27.577099,-97.230383,117333.21817879667,542873,573855,515830,578815,582839,634012,650197,616033,576299,617704,588846
PAAL,Palo Alto Battlefield National Historical Park,25.927065,-97.511873,3023.935065104176,24752,36707,32522,41516,47866,58556,84361,82488,149733,97860,65636
PAGR,Paterson Great Falls National Historical Park,40.916111,-74.181667,63.92508155153509,0,0,0,0,0,177498,308199,143604,276985,339768,249211
PERI,Pea Ridge National Military Park,36.442602,-94.025976,4701.552016173246,114234,131907,95251,104686,114578,119490,121163,101969,102753,80455,108649
PERL,Pearl Harbor National Memorial,21.339884,-157.970901,17.887914610745614,1694896,1751224,1786024,1620814,1574156,1819020,1947495,1779143,1716535,415542,1610485
PECO,Pecos National Historical Park,35.548124,-105.682312,7195.019708744527,43873,45568,32386,38256,30229,39715,40650,39129,43834,36695,39034
PAAV,Pennsylvania Avenue National Historic Site,38.893611,-77.023889,21.79152617872807,236136,283232,257831,54035,0,0,108716,119616,125035,15898,120050
PEVI,Perry's Victory and International Peace Memorial,41.654125,-82.811077,34.049377055921056,93119,140281,158231,129440,156578,142152,84769,150557,121325,40469,121692
PETE,Petersburg National Battlefield,37.219444,-77.361389,3118.6261136239127,213261,188426,190086,205572,192655,191898,208473,204322,235691,152878,198326
PEFO,Petrified Forest National Park,34.90999,-109.806792,236370.73223341577,614054,664857,644648,836799,793225,643274,627757,644922,643588,384483,649761
PETR,Petroglyph National Monument,35.161624,-106.719073,7663.844900630492,114428,119444,115075,115859,117825,124177,141803,268613,293957,356492,176767
PIRO,Pictured Rocks National Lakeshore,46.5178371,-86.4090096,110575.86004317438,561104,593587,575450,527897,723178,777428,781190,815308,858715,1212251,742611
PINN,Pinnacles National Park,36.4869826,-121.2135701,29393.973071546137,393219,224476,237677,196635,206533,215555,233334,222152,177224,165740,227255
PISP,Pipe Spring National Monument,36.862928,-112.740538,44.36783168859649,57360,54692,51118,56484,54619,46710,29065,25179,27482,10623,41333
PIPE,Pipestone National Monument,44.013333,-96.325,393.5995511239035,61908,76030,64760,62151,70748,67489,76486,73267,77508,38229,66858
PISC,Piscataway Park,38.678611,-77.092778,5374.289544270842,279060,124107,161999,109473,148729,123381,154011,146364,329729,166484,174334
PORE,Point Reyes National Seashore,38.04195,-122.7888848,82424.17750685316,2129116,2412663,2641808,2433944,2501106,2438442,2456669,2397722,2265301,2252424,2392920
POCH,Port Chicago Naval Magazine National Memorial,37.9921651,-122.130977,7.423994654605263,545,533,596,786,963,1942,1086,653,830,70,800
POPO,Poverty Point National Monument,32.63679,-91.405532,994.2947567160088,0,0,0,0,0,0,0,0,0,0,0
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,33.667171999999994,-93.596489,0.5916289747807018,9749,8932,9838,11113,10463,10468,10177,10845,8758,4055,9440
PRWI,Prince William Forest Park,38.585278,-77.379722,16073.744300301543,379535,280325,309298,315072,312109,344435,360540,313629,339693,333903,328854
PUHO,Pu'uhonua o Honaunau National Historical Park,19.4173278,-155.9080889,338.18952850877196,426224,442353,363282,401808,437286,421027,505735,462974,414410,130845,400594
PUHE,Pu'ukohola Heiau National Historic Site,20.027026,-155.819965,69.61131304824562,133306,134403,125645,134734,139586,138565,147259,145585,133573,23970,125663
PULL,Pullman National Monument,41.697222,-87.609444,0.5140734649122807,0,0,0,0,0,0,0,0,0,0,0
RABR,Rainbow Bridge National Monument,36.894948,-111.473479,178.708242872807,92311,75214,54773,62910,77270,86369,108418,110904,115108,3573,78685
REER,Reconstruction Era National Historical Park,32.4325,-80.670556,21.422506510416667,0,0,0,0,0,0,0,0,0,0,0
REDW,Redwood National Park,41.753421,-124.194538,177491.07412623335,380167,352517,393364,429166,527143,536297,445000,482536,504722,265177,431609
RICH,Richmond National Battlefield Park,37.429167,-77.373611,9268.04644051535,139376,156952,151240,179552,184175,208969,224014,199344,197242,179598,182046
RIGR,Rio Grande Wild and Scenic River,29.328389,-103.205948,20734.4503125,873,694,703,321,120,463,399,330,324,126,435
RIRA,River Raisin National Battlefield Park,41.913610999999996,-83.378333,53.86568325109649,36206,50667,57464,55281,109118,202375,238813,240548,226354,309977,152680
ROCR,Rock Creek Park,38.9575,-77.045,2056.6166598135965,2050490,2003385,1968995,2437948,2443772,2478735,2483788,2395342,2416232,1768152,2244684
ROMO,Rocky Mountain National Park,40.3753949,-105.5059499,326845.4657394456,3176941,3229617,2991141,3434751,4155916,4517585,4437215,4590493,4670053,3305199,3850891
ROWI,Roger Williams National Memorial,41.831347,-71.410749,5.810949835526316,50909,51944,48677,51523,60505,65588,80970,60709,59419,13971,54422
RRBH,Ronald Reagan Boyhood Home National Historic Site,41.836110999999995,-89.480722,1.2949239309210527,0,0,0,0,0,0,0,0,0,0,0
RORI,Rosie the Riveter/World War II Home Front National Historical Park,37.9338362,-122.3442547,170.39116228070176,0,0,31514,45549,56362,64425,60927,57852,50404,9528,47070
ROLA,Ross Lake National Recreation Area,48.731667,-121.067222,190806.65995888246,728353,742200,725917,710612,772579,905418,759656,892044,1088528,920526,824583
RUCA,Russell Cave National Monument,34.9807721,-85.8063291,305.9524321546053,20717,20954,20456,18530,19430,24649,24377,21620,16642,8462,19584
SAHI,Sagamore Hill National Historic Site,40.882588,-73.5053767,102.95928453947369,53336,20097,14639,19319,42326,53920,55186,39970,36738,105289,44082
SAGU,Saguaro National Park,32.1792142,-110.738004,93085.2532826207,610045,634286,678261,673572,753446,820426,964760,957405,1020226,762226,787465
SACR,Saint Croix Island International Historic Site,44.3385559,-68.2733346,9.484336622807017,0,0,10709,11588,12557,13857,11872,12001,11613,6914,11389
SACN,Saint Croix National Scenic Riverway,45.4171447,-92.6462101,103674.64149396929,273729,221028,342942,671582,623122,708258,772475,724644,638258,798622,577466
SAPA,Saint Paul's Church National Historic Site,40.8933639,-73.8264656,7.706879111842105,14926,16188,14016,16460,17180,20830,21190,21630,18537,5968,16693
SAGA,Saint-Gaudens National Historical Park,43.49751,-72.373789,254.2722807017544,32695,33663,37837,37785,39242,42377,37556,35218,31759,13286,34142
SAMA,Salem Maritime National Historic Site,42.5217765,-70.8862569,12.349409265350877,737073,756038,426328,403758,264780,371989,373630,300475,339238,125554,409886
SAPU,Salinas Pueblo Missions National Monument,34.520341,-106.241127,1119.189921875,29786,29228,24836,30537,29672,32414,35148,34629,31672,26982,30490
SARI,Salt River Bay National Historical Park and Ecological Preserve,17.778889000000003,-64.758889,807.5733006099227,2419,5217,4791,5192,8108,16449,10567,4884,5215,2704,6555
SAAN,San Antonio Missions National Historical Park,29.381974,-98.482254,883.676680372807,568021,614810,521705,1395337,1322154,1358911,1381383,1208104,1281121,1141353,1079290
SAFR,San Francisco Maritime National Historical Park,37.804208,-122.431068,113.01830112390351,4224897,4129983,4154455,4256888,4173014,4334752,4493519,4223542,4016598,1936101,3994375
SAJH,San Juan Island National Historical Park,48.455833,-122.985556,3440.0558826754386,266717,261139,220960,268946,258668,316122,267209,255032,292507,426335,283364
SAJU,San Juan National Historic Site,18.468075,-66.115186,60.467358312774216,1229590,1279814,1328802,1382906,1532818,1456553,1188780,910405,1197345,357100,1186411
SAND,Sand Creek Massacre National Historic Site,38.4838305,-102.7857891,14572.61443941886,3935,4384,4795,7402,5887,6847,6535,6006,5701,4215,5571
SAMO,Santa Monica Mountains National Recreation Area,34.1859982,-118.8861188,159625.4680592105,609636,649471,633054,694714,797126,906606,897593,867154,707566,733576,749650
SARA,Saratoga National Historical Park,43.0189449,-73.6456328,4719.242397203948,65043,57688,54364,58773,65010,102808,97781,135444,145118,73825,85585
SAIR,Saugus Iron Works National Historic Site,42.468009,-71.008909,16.542371162280702,11121,11611,8154,11181,9327,11159,12256,10660,8150,16928,11055
SCBL,Scotts Bluff National Monument,41.824167,-103.665,4117.453563596491,128811,122515,108127,119159,131122,130085,152560,142028,166007,181900,138231
SEMO,Selma to Montgomery National Historic Trail,32.268672,-86.717968,19.95570038377193,0,0,0,0,0,0,0,0,0,0,0
SEQU,Sequoia National Park,36.56471,-118.77337,447937.7090768913,1006583,1106584,909274,1039137,1097464,1254688,1291256,1229594,1246053,796086,1097672
SHEN,Shenandoah National Park,38.533333,-78.35,229701.91804550527,1209883,1210200,1136505,1255321,1321873,1437341,1458874,1264880,1425507,1666265,1338665
SHIL,Shiloh National Military Park,35.151883,-88.329943,9246.85219435307,387816,587620,536206,409086,356535,421862,435107,376099,360989,386883,425820
SITK,Sitka National Historical Park,57.0519805,-135.3315533,278.23071820175437,186864,195157,161157,157297,185150,217141,194880,197017,232876,115494,184303
SLBE,Sleeping Bear Dunes National Lakeshore,44.811405,-86.056252,99976.28080180929,1348304,1531560,1340007,1395401,1535633,1683553,1678126,1643600,1570001,1718696,1544488
SPAR,Springfield Armory National Historic Site,42.095995,-72.583279,69.59806537828948,16161,16978,17782,20595,21825,22434,25109,20104,20979,1032,18300
STLI,Statue Of Liberty National Monument,40.699067,-74.028522,85.36534333881579,3749982,3029443,1883544,4198815,4279020,4501547,4441988,4335431,4240461,576396,3523663
STGE,Ste. Geneviève National Historical Park,37.97696,-90.048672,18.258932291666667,0,0,0,0,0,0,0,0,0,0,0
STEA,Steamtown National Historic Site,41.406345,-75.6654819,76.59154742324561,111725,106309,81174,84257,89592,99660,103956,97950,105403,27322,90735
STRI,Stones River National Battlefield,35.884486,-86.43472,781.1338884320176,187208,260537,258242,272499,264925,346213,230562,266503,284516,301270,267248
STON,Stonewall National Monument,40.733872,-74.002175,5.654957510964913,0,0,0,0,0,0,106791,511220,2088929,0,676735
SUCR,Sunset Crater Volcano National Monument,35.238961,-111.570755,3253.559732044965,185265,177793,184864,176723,182203,60233,119454,104583,108379,83669,138317
TAPR,Tallgrass Prairie National Preserve,38.4426255,-96.5730004,12629.964969846491,17893,18918,16128,17776,29558,29378,30773,27715,33750,29009,25090
THKO,Thaddeus Kosciuszko National Memorial,39.9480134,-75.1461357,0.03385759320175439,1949,2045,1682,1475,1261,2794,2293,2077,1921,0,1750
THRB,Theodore Roosevelt Birthplace National Historic Site,40.7387645,-73.988999,0.13072711074561402,6537,17930,18676,21065,6685,6582,24884,23155,25978,4984,15648
THRI,Theodore Roosevelt Inaugural National Historic Site,42.901478,-78.872416,1.556921600877193,17107,18875,19198,22025,24896,29199,28585,27508,26994,5098,21949
THIS,Theodore Roosevelt Island National Memorial,38.897222,-77.064167,117.59896587171053,137690,149754,162599,146500,159740,164360,168195,151500,151500,153598,154544
THRO,Theodore Roosevelt National Park,46.966667,-103.45,108218.8664014528,563407,640555,545090,559580,580033,753880,708003,749389,691658,551303,634290
EDIS,Thomas Edison National Historical Park,40.7839654,-74.2339497,25.937587719298246,55284,52554,46677,51344,56317,57694,59323,47297,42224,7605,47632
JEFM,Thomas Jefferson Memorial,38.881389,-77.036667,23.10438322368421,1945696,2613131,2609463,2708607,3102442,3414345,3366571,3198859,3096895,852626,2690864
THST,Thomas Stone National Historic Site,38.5223783,-77.0285753,381.11504523026315,6351,6426,6013,5843,5772,10652,10250,8254,8020,2351,6993
TICA,Timpanogos Cave National Monument,40.371125,-111.806123,306.59554893092104,96965,118764,91269,95679,104023,91261,100740,121311,103512,92481,101601
TIMU,Timucuan Ecological and Historic Preserve,30.45445,-81.44988,43496.54892235474,1028922,1076310,1031667,1121318,1239423,1148494,1218306,1134857,1205065,1017373,1122174
TONT,Tonto National Monument,33.66672,-111.1297924,1152.1264603892544,53426,51881,39632,36360,37523,38048,40898,39822,28853,24756,39120
TULE,Tule Lake National Monument,41.9551552,-121.4777694,47.94131373355263,0,0,0,0,0,0,0,0,0,0,0
TUSK,Tule Springs Fossil Beds National Monument,36.371,-115.306,24942.950768229126,0,0,0,0,0,0,0,0,0,0,0
TUMA,Tumacacori National Historical Park,31.57766,-110.999009,355.56146792763155,33740,35158,31433,38017,42146,43829,46308,40810,39704,23726,37487
TUPE,Tupelo National Battlefield,34.307545,-88.720974,1.0404920504385964,0,0,0,0,0,0,0,0,0,0,0
TUAI,Tuskegee Airmen National Historic Site,32.4505152,-85.6773793,89.00656798245615,16244,23716,19301,24319,22662,31133,39322,26829,30097,6843,24047
TUIN,Tuskegee Institute National Historic Site,32.4283309,-85.7091633,61.849781387061405,23288,24030,47766,11786,7961,8452,20407,37486,36395,4737,22231
TUZI,Tuzigoot National Monument,34.5636358,-111.8543178,857.1214007675438,101104,97388,85746,74903,95065,104604,109388,98090,98538,78358,94318
ULSG,Ulysses S. Grant National Historic Site,38.547834,-90.356985,11.483358689692983,35664,39373,38604,40287,39048,46071,59761,43602,39449,15236,39710
UPDE,Upper Delaware Scenic and Recreational River,41.6199728,-75.0508572,72763.5152247807,270390,255586,228464,230845,243246,264362,253537,220966,215537,250198,243313
